Word,Gender
round,m
femme,f
cheval,m
chem.,m
exposé,m
if,m
annotation,f
connoisseur,m
courage,m
animé,m
civilisation,f
q,m
cloud,m
flame,f
wedge,m
hyperbole,f
sensei,m
mana,m
prince,m
dojo,m
corporation,f
empire,m
san,m
abyme,m
torque,m
torque,f
set,m
long,m
conge,m
plate,f
plate,f
valve,f
henry,m
dissertation,f
faction,f
attorney,m
life,m
lifting,m
observation,f
vote,m
neutron,m
pull,m
ring,m
far,m
flash,m
mole,f
charade,f
metal,m
proton,m
revenue,f
mandarin,m
suspension,f
mal,m
datolite,f
commission,f
colt,m
go,m
go,m
go,f
hospital,m
incorrigible,m
Anguillan,m
moron,m
harem,m
leader,m
lift,m
gourmet,m
orient,m
constitution,f
rate,f
rate,f
drill,m
opinion,f
gain,m
box,m
box,f
Andorran,m
mop,f
pub,f
pub,m
manga,m
squash,m
agora,f
franc,m
pet,m
pet,m
massé,m
people,m
loch,m
loch,m
massicot,m
massicot,m
full,m
live,m
house,f
masseuse,f
masque,m
instrumental,m
masseur,m
short,m
sofa,m
nadir,m
mayonnaise,f
menu,m
u,m
note,f
neurula,f
massage,m
massacre,m
e,m
stop,m
pipe,f
pipe,m
hanap,m
rêve,m
translocation,f
Palestine,f
mark,m
bribe,f
cycle,m
drag,m
masturbation,f
mare,f
hara-kiri,m
latino,m
hart,f
liège,m
ile,f
nuit,f
panier,m
poire,f
igloo,m
pomme,f
allemand,m
penalty,m
aa,m
damoiselle,f
accentuation,f
anglais,m
information,f
ypréau,m
cardinal,m
cardinal,m
avion renifleur,m
faux-ami,m
diurnal,m
putter,m
sodium,m
cornet,m
potassium,m
boob,f
quatre-vingt,m
bicarbonate,m
occupation,f
original,m
passage,m
TOC,m
rifle,m
labour,m
hardware,m
verlan,m
famine,f
nazi,m
nazi,m
image,f
avoir,m
impudence,f
être,m
file,f
vivisection,f
nuance,f
nosémose,f
spider,m
oxygène,m
cœur,m
sango,m
bath,m
tare,f
PET,m
rein,m
jaguar,m
jaguar,f
ogre,m
multiplication,f
pitch,m
kimono,m
dame,f
soleil,m
cop,m
CD,m
abeille,f
fleur,f
couleur,f
arbre,m
musique,f
miel,m
duo,m
boc,m
coke,m
coke,f
taureau,m
rot,m
lavatory,m
mot,m
maison,f
division,f
poisson,m
Nippon,m
alpha,m
quaternion,m
epsilon,m
gamma,m
lune,f
dino,m
giraffe,f
phylum,m
seconde,f
tulipe,f
bicyclette,f
TV,f
okapi,m
tank,m
cor,m
iota,m
appel,m
hyphen,m
ouest,m
stud,m
métro,m
digamma,m
un,m
chaos,m
con,m
bicycle,m
lambda,m
grue,f
delta,m
delta,m
prune,f
nº,m
numéro,m
xi,m
chocolat,m
mer,f
millilitre,m
mètre,m
yumi,m
once,f
once,f
fuel,m
thulium,m
protactinium,m
ununbium,m
rhodium,m
roentgenium,m
scandium,m
thallium,m
fluorine,f
californium,m
thorium,m
caesium,m
uranium,m
tort,m
mu,m
vanadium,m
seaborgium,m
zirconium,m
mile,m
samarium,m
actinium,m
cobalt,m
personne,f
cadmium,m
kappa,m
strontium,m
niobium,m
curium,m
dysprosium,m
bismuth,m
rutherfordium,m
polonium,m
francium,m
rubidium,m
premier,m
yttrium,m
lawrencium,m
germanium,m
bohrium,m
hassium,m
iridium,m
neptunium,m
terbium,m
calcium,m
krypton,m
ytterbium,m
hafnium,m
cigarette,f
osmium,m
gadolinium,m
café,m
erbium,m
lithium,m
europium,m
fermium,m
abbé,m
einsteinium,m
indium,m
gallium,m
zinc,m
zinc,m
palladium,m
dubnium,m
plutonium,m
holmium,m
arsenic,m
radon,m
test,m
test,m
kilo,m
kayak,m
radium,m
aluminium,m
argon,m
respect,m
buggy,m
influence,f
sonar,m
samouraï,m
